OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
66805,CIRCLE K #2723553,US-27,Ringgold,GA,285,3.07566666,34.91591,-85.1091173
66809,CASEYS #3449,SR-78,Wapello,IA,380,3.349,41.0029892,-92.3946263
66815,MAXS #132,US-641 N,Murray,KY,490,3.399,36.6173401,-88.3150761
66817,JOLLY TRUCK STOP,US-82/US-287,Wichita Falls,TX,770,2.899,33.8843611,-98.4770161
66822,WILD BILL'S,I-78,Sherman                                 ,MS,435,2.919,34.3592707,-88.8411688
66824,STRIPES #42435,US-87/US-277,San Angelo,TX,740,2.799,31.4839206,-100.3836723
66833,STRIPES #5148,US-281,Pharr,TX,639,3.399,26.2476714,-98.175373
66838,RUTTERS #96,US-322 & SR-655,Milroy,PA,14,4.05066666,40.7162115,-77.5892193
66846,CIRCLE K #2723664,US-280,Childersburg,AL,615,3.899,33.2867607,-86.3635437
66850,Stripes,ST 77,Riviera,TX,625,3.12566666,27.2987386,-97.8143004
66853,LOVES TRAVEL STOP #327,US-77 & FM-1898,Kingsville,TX,625,3.15566666,27.5306787,-97.8538386
66868,STRIPES #40604,US-83,Mission,TX,639,2.88233333,26.1960867,-98.2759043
66869,SPEEDWAY #4630,US-220 BUS & CR-782,Ridgeway,VA,185,3.409,36.5768047,-79.8583721
66877,PILOT TRAVEL CENTER #916- TOWN PUMP,US-93 & US-12,Lolo,MT,820,3.609,46.7568598,-114.0822998
66890,CASEYS #4223,US-25E,Middlesboro,KY,405,3.489,36.6153919,-83.7035935
66893,ONE9 #1291,US-287 & CR-174,Bowie,TX,770,2.91233333,33.4198886,-94.4479626
66894,PILOT TRAVEL CENTERS #259,US-69,Muskogee,OK,560,3.32233333,35.8076769,-95.4022964
66902,CIRCLE K #4707239,SR-103,Warner,NH,170,3.93233333,43.2459495,-71.7528374
66905,CIRCLE K #4707212,SR-27,Raymond,NH,170,3.759,43.0393652,-71.1965544
66932,CIRCLE K #4701444,US-34 & SR-164,Monmouth,IL,345,3.449,40.9127103,-90.6472477
66939,KWIK TRIP #416,SR-172 & CR-GV,De Pere,WI,582,3.39066666,44.4493584,-88.0599986
66951,BERKLYS TRAVEL CENTER #3,US-377/US-87,Brady,TX,575,3.61566666,31.100455,-99.3297186
66953,LOVES TRAVEL STOP #355,"I-65, EXIT 16",Memphis,IN,415,3.949,38.4942871,-85.7712009
66964,PILOT TRAVEL CENTERS #239,US-30/US-23,Upper Sandusky,OH,411,3.899,40.8581283,-83.2802917
66968,FLYING J TRAVEL PLAZA #675,US-136 & SR-27,Wayland,MO,345,3.30566666,40.3944871,-91.5832149
66993,PILOT TRAVEL CENTERS #198,US-30 & US-31,Plymouth,IN,465,3.869,41.3436555,-86.3097278
67030,LOVES TRAVEL STOP #337,"I-90 & I-35, EXIT 11",Albert Lea,MN,515,4.089,43.6480127,-93.3682656
67054,LOVES TRAVEL STOPS #436,"I-80, EXIT 118",Salt Lake City,UT,835,3.649,40.7852836,-111.9889503
67055,FLYING J TRAVEL PLAZA #641,I-15,Mccammon,ID,825,3.749,42.6504719,-112.193022
67056,Arco,US-2 & US-59,Erskine,MN,355,3.399,47.6669831,-96.0099602
67075,CM FOREST GOLD,SR-16,Amite,LA,600,3.399,30.7265725,-90.5222219
67077,CASH MAGIC BROUSSARD SOUTH,US-90,Broussard,LA,600,3.399,30.1348704,-91.9448441
67092,SPEEDWAY #8288,US-64 & SR-149,Plymouth,NC,177,3.20733333,35.8668281,-76.7485555
67095,SPEEDWAY #8297,US-17 & US-17 BYP,Chocowinity,NC,205,3.13233333,35.5125955,-77.1009232
67096,SPEEDWAY #6997,I-95/US-301,Fayetteville,NC,63,3.39566666,35.0567034,-78.8603125
67107,SPEEDWAY/7fleet #4595,US-501 & SR-544,Conway,SC,205,3.089,33.8360035,-79.0478143
67117,MCCLURE OIL #65,US-31 & SR-38,Cicero                                  ,IN,375,3.889,40.1323222,-86.0137897
67118,ABELS QUIK SHOP #20,US-36 & CR-437,Hannibal,MO,540,3.06566666,39.7082498,-91.3587413
67119,EASTWAY TRUCKSTOP,SR-80,Somerset,KY,410,3.599,37.0674946,-84.6214798
67138,Kum N Go #0561,US-65 & SR-744,Springfield,MO,535,2.899,37.2081729,-93.2922715
67143,ALL AMERICAN STORES #7,US-30,Fort Wayne,IN,370,3.559,41.1257706,-85.1925121
67149,HOOPS TRAVEL CENTER,I-39 & SR-21,Coloma,WI,395,3.18233333,44.0344373,-89.5223925
67166,Circle K #4705726,US-33,Carroll,OH,315,3.24566666,39.8087812,-82.7130063
67175,KWIK STAR #428,SR-9,Cresco,IA,515,3.524,43.3736148,-92.1161444
67178,KWIK STAR #701,US-63,Denver,IA,565,3.499,42.6680198,-92.344338
67182,KWIK STAR #817,US-52 & SR-24,Calmar,IA,565,3.579,43.1828024,-91.86481
67186,KWIK TRIP #424,SR-15 & CR-26,Fairmont,MN,425,3.399,43.6521775,-94.4610832
67192,KWIK TRIP #464,US-63,Rochester,MN,515,3.54066666,44.0118335,-92.4843708
67193,KWIK TRIP #609,SR-16 & SR-43,Rushford,MN,515,3.499,43.8082606,-91.7531265
67195,KWIK TRIP #646,US-169 & CR-53,Blue Earth,MN,425,3.324,44.0109722,-94.0560643
67196,KWIK TRIP #753,US-14 & SR-42,Eyota,MN,515,3.61566666,43.9887507,-92.2292396
